"gene","GO"
"AAAS","4. learning or memory"
"AAL","4. learning or memory"
"ABCA7","4. learning or memory"
"ABCC8","4. learning or memory"
"ABI2","4. learning or memory"
"ABL2","4. learning or memory"
"ADAM2","4. learning or memory"
"ADCY1","4. learning or memory"
"ADCY3","4. learning or memory"
"ADCY8","4. learning or memory"
"ADGRB3","4. learning or memory"
"ADGRF1","4. learning or memory"
"ADNP","4. learning or memory"
"ADRA1B","4. learning or memory"
"ADRB1","4. learning or memory"
"ADRB2","4. learning or memory"
"AFF2","4. learning or memory"
"AGER","4. learning or memory"
"AGT","4. learning or memory"
"AMPH","4. learning or memory"
"AP1S2","4. learning or memory"
"APBB1","4. learning or memory"
"APOE","4. learning or memory"
"APP","4. learning or memory"
"ARC","4. learning or memory"
"ARF4","4. learning or memory"
"ASIC1","4. learning or memory"
"ATAD1","4. learning or memory"
"ATP1A2","4. learning or memory"
"ATP1A3","4. learning or memory"
"ATP8A1","4. learning or memory"
"ATXN1","4. learning or memory"
"ATXN1L","4. learning or memory"
"B2M","4. learning or memory"
"B4GALT2","4. learning or memory"
"BACE1","4. learning or memory"
"BCHE","4. learning or memory"
"BDNF","4. learning or memory"
"BHLHB9","4. learning or memory"
"BRAF","4. learning or memory"
"BRINP1","4. learning or memory"
"BRSK1","4. learning or memory"
"BTBD9","4. learning or memory"
"BTG2","4. learning or memory"
"C1QL1","4. learning or memory"
"CACNA1C","4. learning or memory"
"CACNA1E","4. learning or memory"
"CALB1","4. learning or memory"
"CAMK4","4. learning or memory"
"CASP1","4. learning or memory"
"CASP3","4. learning or memory"
"CCK","4. learning or memory"
"CCND2","4. learning or memory"
"CDK5","4. learning or memory"
"CHAT","4. learning or memory"
"CHD8","4. learning or memory"
"CHRNA7","4. learning or memory"
"CHRNB2","4. learning or memory"
"CHST10","4. learning or memory"
"CIC","4. learning or memory"
"CLN3","4. learning or memory"
"CLN8","4. learning or memory"
"CNR1","4. learning or memory"
"CNTN2","4. learning or memory"
"CNTNAP2","4. learning or memory"
"COMT","4. learning or memory"
"CPEB3","4. learning or memory"
"CREB1","4. learning or memory"
"CRH","4. learning or memory"
"CRHR1","4. learning or memory"
"CRTC1","4. learning or memory"
"CTNND2","4. learning or memory"
"CTNS","4. learning or memory"
"CUX2","4. learning or memory"
