"treatment","trial","trialNum","m","se","measure"
"standard.yoked","Pre",1,0,0,"NumShock"
"standard.yoked","Retention",9,0,0,"NumShock"
"standard.yoked","Retest",5,4,1.2,"NumShock"
"standard.yoked","T1",2,7,0.85,"NumShock"
"standard.yoked","T2",3,5,2.12,"NumShock"
"standard.yoked","T3",4,4,1.37,"NumShock"
"standard.yoked","T4_C1",6,4,1.66,"NumShock"
"standard.yoked","T5_C2",7,4,1.33,"NumShock"
"standard.yoked","T6_C3",8,4,2.04,"NumShock"
"standard.trained","Pre",1,0,0,"NumShock"
"standard.trained","Retention",9,0,0,"NumShock"
"standard.trained","Retest",5,4,1.2,"NumShock"
"standard.trained","T1",2,7,0.85,"NumShock"
"standard.trained","T2",3,5,2.12,"NumShock"
"standard.trained","T3",4,4,1.37,"NumShock"
"standard.trained","T4_C1",6,4,1.66,"NumShock"
"standard.trained","T5_C2",7,4,1.33,"NumShock"
"standard.trained","T6_C3",8,4,2.04,"NumShock"
"conflict.yoked","Pre",1,0,0,"NumShock"
"conflict.yoked","Retention",9,0,0,"NumShock"
"conflict.yoked","Retest",5,2,0.74,"NumShock"
"conflict.yoked","T1",2,10,2.03,"NumShock"
"conflict.yoked","T2",3,3,0.32,"NumShock"
"conflict.yoked","T3",4,3,1.53,"NumShock"
"conflict.yoked","T4_C1",6,21,2.91,"NumShock"
"conflict.yoked","T5_C2",7,6,2.76,"NumShock"
"conflict.yoked","T6_C3",8,6,2.39,"NumShock"
"conflict.trained","Pre",1,0,0,"NumShock"
"conflict.trained","Retention",9,0,0,"NumShock"
"conflict.trained","Retest",5,2,0.74,"NumShock"
"conflict.trained","T1",2,10,2.03,"NumShock"
"conflict.trained","T2",3,3,0.32,"NumShock"
"conflict.trained","T3",4,3,1.53,"NumShock"
"conflict.trained","T4_C1",6,21,2.91,"NumShock"
"conflict.trained","T5_C2",7,6,2.76,"NumShock"
"conflict.trained","T6_C3",8,6,2.39,"NumShock"
"standard.yoked","Pre",1,31.375,2.32,"NumEntrances"
"standard.yoked","Retention",9,17,1.5,"NumEntrances"
"standard.yoked","Retest",5,16.875,0.87,"NumEntrances"
"standard.yoked","T1",2,21.375,2.02,"NumEntrances"
"standard.yoked","T2",3,15.375,1.4,"NumEntrances"
"standard.yoked","T3",4,14.5,2.01,"NumEntrances"
"standard.yoked","T4_C1",6,15,1.56,"NumEntrances"
"standard.yoked","T5_C2",7,13.875,1.46,"NumEntrances"
"standard.yoked","T6_C3",8,14.875,1.66,"NumEntrances"
"standard.trained","Pre",1,31.125,2.13,"NumEntrances"
"standard.trained","Retention",9,3.25,1.32,"NumEntrances"
"standard.trained","Retest",5,3.375,0.92,"NumEntrances"
"standard.trained","T1",2,7.125,0.85,"NumEntrances"
"standard.trained","T2",3,5.25,2.11,"NumEntrances"
"standard.trained","T3",4,3.375,1.18,"NumEntrances"
"standard.trained","T4_C1",6,4.25,1.68,"NumEntrances"
"standard.trained","T5_C2",7,3.625,1.28,"NumEntrances"
"standard.trained","T6_C3",8,4.25,2.04,"NumEntrances"
"conflict.yoked","Pre",1,32.333,1.15,"NumEntrances"
"conflict.yoked","Retention",9,14,1.49,"NumEntrances"
"conflict.yoked","Retest",5,16.111,1.76,"NumEntrances"
"conflict.yoked","T1",2,20.778,1.22,"NumEntrances"
"conflict.yoked","T2",3,13.556,1.93,"NumEntrances"
"conflict.yoked","T3",4,15.667,1.7,"NumEntrances"
"conflict.yoked","T4_C1",6,14.889,1.38,"NumEntrances"
"conflict.yoked","T5_C2",7,14.444,1.13,"NumEntrances"
"conflict.yoked","T6_C3",8,16.556,2.21,"NumEntrances"
"conflict.trained","Pre",1,31.667,1.53,"NumEntrances"
"conflict.trained","Retention",9,5.444,1.75,"NumEntrances"
"conflict.trained","Retest",5,2.222,0.74,"NumEntrances"
"conflict.trained","T1",2,8.333,1.11,"NumEntrances"
"conflict.trained","T2",3,2.556,0.29,"NumEntrances"
"conflict.trained","T3",4,2.556,1.2,"NumEntrances"
"conflict.trained","T4_C1",6,18.444,2.82,"NumEntrances"
"conflict.trained","T5_C2",7,6.222,2.76,"NumEntrances"
"conflict.trained","T6_C3",8,5.889,2.39,"NumEntrances"
"standard.yoked","Pre",1,0.208,0.07,"Time1stEntr (min)"
"standard.yoked","Retention",9,0.421,0.1,"Time1stEntr (min)"
"standard.yoked","Retest",5,0.252,0.08,"Time1stEntr (min)"
"standard.yoked","T1",2,0.276,0.13,"Time1stEntr (min)"
"standard.yoked","T2",3,0.691,0.19,"Time1stEntr (min)"
"standard.yoked","T3",4,0.52,0.12,"Time1stEntr (min)"
"standard.yoked","T4_C1",6,0.705,0.07,"Time1stEntr (min)"
"standard.yoked","T5_C2",7,0.324,0.06,"Time1stEntr (min)"
