tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Hs6st1,0.6,3.79e-03,2.42,yoked vs. trained,trained
DG,Pou3f3,0.55,3.53e-02,1.45,yoked vs. trained,trained
DG,Zdbf2,1.56,7.15e-05,4.15,yoked vs. trained,trained
DG,Fzd5,3.21,3.78e-09,8.42,yoked vs. trained,trained
DG,Scg2,1.15,3.15e-02,1.5,yoked vs. trained,trained
DG,Cul3,0.43,4.26e-02,1.37,yoked vs. trained,trained
DG,Irs1,1.25,3.54e-04,3.45,yoked vs. trained,trained
DG,Per2,1.08,1.61e-02,1.79,yoked vs. trained,trained
DG,Btg2,1.77,1.18e-03,2.93,yoked vs. trained,trained
DG,Rgs2,2.19,5.35e-06,5.27,yoked vs. trained,trained
DG,Ptgs2,2.25,9.55e-06,5.02,yoked vs. trained,trained
DG,Rgs4,1.21,1.09e-04,3.96,yoked vs. trained,trained
DG,Olfml2b,0.45,3.94e-02,1.4,yoked vs. trained,trained
DG,Eprs,0.76,5.23e-03,2.28,yoked vs. trained,trained
DG,Atf3,1.78,5.23e-03,2.28,yoked vs. trained,trained
DG,Fam107b,1.62,2.76e-04,3.56,yoked vs. trained,trained
DG,Arl5b,1.27,3.91e-04,3.41,yoked vs. trained,trained
DG,Otud1,1.86,2.16e-06,5.67,yoked vs. trained,trained
DG,Slc25a25,0.72,4.59e-03,2.34,yoked vs. trained,trained
DG,Sh2d3c,1.5,9.73e-02,1.01,yoked vs. trained,trained
DG,Nr4a2,1.59,3.65e-02,1.44,yoked vs. trained,trained
DG,Gad1,0.55,3.93e-02,1.41,yoked vs. trained,trained
DG,Ctnnd1,0.91,3.65e-02,1.44,yoked vs. trained,trained
DG,Gm13889,1.63,3.27e-03,2.49,yoked vs. trained,trained
DG,Kcna4,1.02,1.58e-02,1.8,yoked vs. trained,trained
DG,Bdnf,1.36,3.44e-05,4.46,yoked vs. trained,trained
DG,Thbs1,2.52,8.13e-02,1.09,yoked vs. trained,trained
DG,Pak6,0.93,3.90e-03,2.41,yoked vs. trained,trained
DG,Ccdc32,-0.59,6.54e-02,1.18,yoked vs. trained,yoked
DG,Lcmt2,1.23,6.84e-02,1.16,yoked vs. trained,trained
DG,Flrt3,0.94,3.01e-02,1.52,yoked vs. trained,trained
DG,Tspyl3,-1.5,2.54e-02,1.59,yoked vs. trained,yoked
DG,Ctcfl,-3.74,3.90e-03,2.41,yoked vs. trained,yoked
DG,Gmeb2,1.17,9.92e-02,1,yoked vs. trained,trained
DG,Gyg,-1.7,4.12e-02,1.39,yoked vs. trained,yoked
DG,Foxo1,0.59,7.23e-02,1.14,yoked vs. trained,trained
DG,Tsc22d2,1.21,5.88e-04,3.23,yoked vs. trained,trained
DG,Siah2,1.16,4.14e-02,1.38,yoked vs. trained,trained
DG,Tiparp,2.04,3.84e-04,3.42,yoked vs. trained,trained
DG,Fbxw7,0.74,6.83e-03,2.17,yoked vs. trained,trained
DG,Lmna,1.29,2.36e-03,2.63,yoked vs. trained,trained
DG,Ciart,1.11,8.39e-03,2.08,yoked vs. trained,trained
DG,Slc16a1,1.95,2.05e-07,6.69,yoked vs. trained,trained
DG,Prpf38b,0.65,6.04e-02,1.22,yoked vs. trained,trained
DG,Dnajb4,0.93,2.38e-02,1.62,yoked vs. trained,trained
DG,Dnaja1,0.57,1.53e-02,1.81,yoked vs. trained,trained
DG,Nr4a3,2.52,9.09e-04,3.04,yoked vs. trained,trained
DG,Jun,1.02,3.24e-05,4.49,yoked vs. trained,trained
DG,Plk3,1.66,9.11e-03,2.04,yoked vs. trained,trained
DG,Errfi1,1.66,9.09e-08,7.04,yoked vs. trained,trained
DG,Plch2,-1.47,7.43e-02,1.13,yoked vs. trained,yoked
DG,Cyp51,0.9,2.60e-02,1.59,yoked vs. trained,trained
DG,Cldn12,0.84,4.76e-02,1.32,yoked vs. trained,trained
DG,Fosl2,2.02,1.29e-05,4.89,yoked vs. trained,trained
DG,Tnip2,0.63,9.59e-03,2.02,yoked vs. trained,trained
DG,Rbm47,-3.79,6.78e-02,1.17,yoked vs. trained,yoked
DG,Rasl11b,1.37,2.54e-02,1.59,yoked vs. trained,trained
DG,Coq2,-0.53,9.73e-02,1.01,yoked vs. trained,yoked
DG,A830010M20Rik,1.53,7.89e-07,6.1,yoked vs. trained,trained
DG,Mn1,1.29,3.54e-04,3.45,yoked vs. trained,trained
DG,Ankrd13a,0.57,8.45e-02,1.07,yoked vs. trained,trained
DG,Pxn,-0.71,6.35e-02,1.2,yoked vs. trained,yoked
DG,Ubc,0.78,5.34e-05,4.27,yoked vs. trained,trained
DG,Nptx2,1.63,2.40e-07,6.62,yoked vs. trained,trained
DG,Rasl11a,1.71,3.90e-03,2.41,yoked vs. trained,trained
DG,Uspl1,0.85,1.58e-02,1.8,yoked vs. trained,trained
DG,Hsph1,0.56,4.47e-02,1.35,yoked vs. trained,trained
DG,Peg10,1.08,5.38e-02,1.27,yoked vs. trained,trained
DG,Bmt2,-2.94,1.20e-02,1.92,yoked vs. trained,yoked
DG,Mest,1.67,3.44e-05,4.46,yoked vs. trained,trained
DG,Kdm7a,0.65,4.93e-02,1.31,yoked vs. trained,trained
DG,Neurod6,-3.14,1.27e-02,1.9,yoked vs. trained,yoked
DG,Nap1l5,0.64,8.97e-02,1.05,yoked vs. trained,trained
DG,Egr4,2.26,5.34e-05,4.27,yoked vs. trained,trained
DG,Cecr6,-0.84,3.75e-03,2.43,yoked vs. trained,yoked
DG,Slc2a3,0.55,1.95e-03,2.71,yoked vs. trained,trained
DG,Dusp16,1.46,1.91e-02,1.72,yoked vs. trained,trained
DG,Gpr19,1.44,1.55e-03,2.81,yoked vs. trained,trained
DG,Fosb,2.09,1.55e-03,2.81,yoked vs. trained,trained
DG,Erf,0.82,6.83e-03,2.17,yoked vs. trained,trained
DG,Gpi1,-0.37,7.43e-02,1.13,yoked vs. trained,yoked
DG,Ankrd27,-1.09,5.93e-02,1.23,yoked vs. trained,yoked
DG,Ppp1r15a,1.3,1.68e-03,2.78,yoked vs. trained,trained
DG,Spty2d1,1.31,5.06e-05,4.3,yoked vs. trained,trained
DG,Lysmd4,-0.89,4.49e-03,2.35,yoked vs. trained,yoked
DG,Sv2b,-3.49,7.95e-03,2.1,yoked vs. trained,yoked
DG,Acan,1.97,4.54e-09,8.34,yoked vs. trained,trained
DG,Abhd2,0.86,1.53e-02,1.81,yoked vs. trained,trained
DG,Il16,0.68,1.78e-02,1.75,yoked vs. trained,trained
DG,Fzd4,1.91,4.71e-04,3.33,yoked vs. trained,trained
DG,Zfp668,-0.62,6.99e-02,1.16,yoked vs. trained,yoked
DG,Dusp8,0.67,3.53e-03,2.45,yoked vs. trained,trained
DG,Irs2,1.26,6.68e-05,4.18,yoked vs. trained,trained
DG,Dusp4,0.94,5.10e-03,2.29,yoked vs. trained,trained
DG,Lonrf1,1.92,1.06e-04,3.97,yoked vs. trained,trained
DG,Klkb1,-3.53,6.18e-03,2.21,yoked vs. trained,yoked
DG,Ing2,1.25,4.75e-02,1.32,yoked vs. trained,trained
