"marker","gene","DG vs. CA1","DG vs. CA3","CA3 vs. CA1"
"DG","ABLIM3","DG","DG",NA
"DG","AKAP7","DG","DG",NA
"DG","ARHGAP20","DG","DG",NA
"DG","AU040320","DG",NA,NA
"DG","B4GALT3",NA,"DG",NA
"DG","B930041F14RIK",NA,NA,NA
"DG","BTG2",NA,NA,NA
"DG","C1QL2","DG","DG",NA
"DG","CACNG7",NA,NA,NA
"DG","CALD1","DG","DG",NA
"DG","CD47","DG",NA,NA
"DG","CYGB","DG",NA,NA
"DG","DGAT2","DG","DG",NA
"DG","DGKH","DG","DG",NA
"DG","DOCK10","DG","DG",NA
"DG","DSP","DG","DG",NA
"DG","EGR4",NA,NA,NA
"DG","ETS2",NA,"DG",NA
"DG","EXT2",NA,NA,NA
"DG","FAM163B","DG","DG",NA
"DG","FAM163B","DG","DG",NA
"DG","FAM53B","DG","DG",NA
"DG","GLIS3","DG","DG",NA
"DG","GM17322",NA,NA,NA
"DG","GPRC5B","DG","DG",NA
"DG","GSE1",NA,NA,NA
"DG","GTF2A2",NA,NA,NA
"DG","H2AFZ",NA,NA,NA
"DG","IGFBP5","DG","DG",NA
"DG","IL1RAP","DG","DG",NA
"DG","INPP5J","DG","DG",NA
"DG","JUN","DG","DG",NA
"DG","KCNC3","DG","DG",NA
"DG","KCNK1","DG","DG",NA
"DG","KLF13","DG","DG",NA
"DG","LRRC16A","DG","DG",NA
"DG","LRRTM4","DG","DG",NA
"DG","MAML2","DG","DG",NA
"DG","MARCKS",NA,"DG",NA
"DG","MEF2C","DG","DG",NA
"DG","NAPA",NA,"DG",NA
"DG","NBEAL2","DG",NA,NA
"DG","NCOR2",NA,"DG",NA
"DG","NEUROD2","DG","DG",NA
"DG","NPNT","DG","DG",NA
"DG","NPY5R",NA,NA,NA
"DG","NRGN",NA,"DG",NA
"DG","PCDH8","DG","DG",NA
"DG","PDE7B","DG","DG",NA
"DG","PDZD2","DG","DG",NA
"DG","PITPNC1","DG","DG",NA
"DG","PITPNM2","DG","DG",NA
"DG","PLEKHA2","DG","DG",NA
"DG","PLEKHA2","DG","DG",NA
"DG","PLEKHG5","DG","DG",NA
"DG","PNKP",NA,NA,NA
"DG","PRDM5","DG","DG",NA
"DG","PROX1","DG","DG",NA
"DG","RAVER1",NA,NA,NA
"DG","RFX3","DG","DG",NA
"DG","ROBO3","DG","DG",NA
"DG","SCN3A","DG","DG",NA
"DG","SH3BP1",NA,NA,NA
"DG","SHISA9","DG","DG",NA
"DG","SIPA1L2","DG","DG",NA
"DG","SLC29A4","DG","DG",NA
"DG","SLC4A4",NA,NA,NA
"DG","SNORA63",NA,NA,NA
"DG","SNORD118",NA,NA,NA
"DG","STRA6","DG",NA,NA
"DG","STXBP6","DG","DG",NA
"DG","SV2C","DG","DG",NA
"DG","TAOK2",NA,NA,NA
"DG","TIAM1","DG","DG",NA
"DG","TRPC6","DG","DG",NA
"DG","VPS37B","DG","DG",NA
"DG","ZFP536","DG",NA,NA
"DG","ZFP536","DG",NA,NA
"CA3","CD109",NA,"CA3","CA3"
"CA3","CHGB",NA,"CA3","CA3"
"CA3","EPHB1",NA,"CA3","CA3"
"CA3","IYD",NA,NA,"CA3"
"CA3","OCIAD2",NA,"CA3",NA
"CA3","PDLIM1",NA,NA,NA
"CA3","PRKCD",NA,"CA3","CA3"
"CA3","PTGS2",NA,NA,"CA3"
"CA3","SLC1A2",NA,"CA3","CA3"
"CA3","TRHDE",NA,"CA3","CA3"
"CA1","2610017I09RIK",NA,NA,NA
"CA1","3110003A17RIK",NA,NA,NA
"CA1","BC030500","CA1",NA,"CA1"
"CA1","CDS1","CA1",NA,"CA1"
"CA1","ENPP2",NA,NA,"CA3"
"CA1","FIBCD1","CA1",NA,"CA1"
"CA1","GM17711",NA,NA,NA
"CA1","KCNAB1","CA1",NA,"CA1"
"CA1","KCNH7","CA1",NA,"CA1"
"CA1","KLHL13","CA1",NA,NA
"CA1","LPHN2",NA,NA,NA
"CA1","MAN1A","CA1",NA,"CA1"
"CA1","MPPED1","CA1",NA,"CA1"
"CA1","NOV","CA1",NA,"CA1"
"CA1","PEX5L","CA1",NA,"CA1"
"CA1","PLEKHG1","CA1",NA,"CA1"
"CA1","POU3F1","CA1",NA,"CA1"
"CA1","SATB2","CA1",NA,"CA1"
"CA1","SCN3B","CA1",NA,"CA1"
"CA1","WFS1","CA1",NA,"CA1"
"CA1","ZDHHC2","CA1",NA,"CA1"
"CA1","ZFP386",NA,NA,NA
