"rowname","PC1","Naf1","Ptgs2","Rgs2","Hist1h1d","Col10a1","Arc","Hspb3","Npas4","Fzd5","Acan","Areg","Hist1h3i","Armcx5","Atf3","Syt4","Nexn","Hoxc4","Abra","Fosl2","Ubc"
"PC1",1,0.861709524698369,0.840046336068718,0.833975370979959,0.815007901143921,0.812721894255861,0.805926984145088,0.803446968562441,0.802382358989387,0.798759368049769,0.784205534794125,0.784205510826605,0.779006216500503,0.775536488340024,0.774299679458332,0.77426591864414,0.771602821845151,0.765294784501068,0.76443293381299,0.762014114515966,0.753431907176377
"Naf1",0.861709524698369,1,0.853795376177202,0.810304391241873,0.822064597547803,0.802796730662065,0.74703472256019,0.682499598422935,0.813928712908282,0.822728138751229,0.806748882354711,0.584413630357048,0.617801076486482,0.70290548834391,0.732662290245803,0.820325429650789,0.774885785279514,0.884765466476254,0.741152789849351,0.802732755454707,0.796188097405406
"Ptgs2",0.840046336068718,0.853795376177202,1,0.942791376566087,0.747602330967861,0.885849768389167,0.933437004786199,0.71625970537821,0.963923070295218,0.902913351590111,0.871606739657787,0.648379171629741,0.622406055271139,0.732794780335329,0.879030730136778,0.88376183685208,0.74337670601254,0.748623403284211,0.844198838995562,0.920882278377137,0.873971504739377
"Rgs2",0.833975370979959,0.810304391241873,0.942791376566087,1,0.708767207698766,0.945478604095488,0.898790716403971,0.694389400030494,0.877230779084557,0.880733680430818,0.828620111864645,0.531741275591958,0.578751617707843,0.83296753442336,0.854275776400125,0.848425235592228,0.782269769468109,0.769571396016212,0.900119365532852,0.942090572600031,0.93097585425247
"Hist1h1d",0.815007901143921,0.822064597547803,0.747602330967861,0.708767207698766,1,0.747890563417715,0.609191500298733,0.602160508593741,0.712381304311736,0.686966035097301,0.744796271105901,0.619715046265564,0.477319767088438,0.635545286691677,0.629609291928085,0.719632174810618,0.746407929726353,0.81615147546547,0.623477681418848,0.717900578351989,0.595380866278419
"Col10a1",0.812721894255861,0.802796730662065,0.885849768389167,0.945478604095488,0.747890563417715,1,0.842000697279036,0.658759609911377,0.860329693029233,0.882800776175133,0.812072779575659,0.509401008337547,0.459277307038248,0.800312430552947,0.794112642292095,0.831174633470588,0.799600493996323,0.798270387507628,0.844813946242211,0.881100273582289,0.906915424416674
"Arc",0.805926984145088,0.74703472256019,0.933437004786199,0.898790716403971,0.609191500298733,0.842000697279036,1,0.662738348344624,0.903616990227952,0.85805885789496,0.871398443078754,0.664667063200916,0.537830320339928,0.738534311738922,0.963703161321233,0.880583183786442,0.589692993152569,0.601560426937801,0.810139256375407,0.88590570225982,0.911215794968932
"Hspb3",0.803446968562441,0.682499598422935,0.71625970537821,0.694389400030494,0.602160508593741,0.658759609911377,0.662738348344624,1,0.708906372135219,0.704944707892706,0.710475630015877,0.739534189355655,0.73028225035967,0.700023789575811,0.59254219746974,0.538325266682899,0.732297911023542,0.508570705459146,0.48027275147435,0.60445018977917,0.57707422430041
"Npas4",0.802382358989387,0.813928712908282,0.963923070295218,0.877230779084557,0.712381304311736,0.860329693029233,0.903616990227952,0.708906372135219,1,0.911606097746746,0.859978976100439,0.678595334404308,0.587246294166098,0.674063419171989,0.842902319737626,0.817551584353049,0.724191440266496,0.670742423554959,0.767242246756332,0.865241716862919,0.816451163900516
"Fzd5",0.798759368049769,0.822728138751229,0.902913351590111,0.880733680430818,0.686966035097301,0.882800776175133,0.85805885789496,0.704944707892706,0.911606097746746,1,0.905445155250686,0.70621907912501,0.623661334657463,0.718331140344617,0.782778094125452,0.750271708872537,0.780523976770765,0.735384549345715,0.805505124141128,0.907860783049671,0.857066450799518
