"Domain","Functional Category","gene"
"BP","Memory","Arc Bdnf Egr1 Kcnk10 Npas4 Plk2 Ptgs2 Sgk1 Syt4"
"BP","Learning or memory","Arc Bdnf Btg2 Egr1 Kcnk10 Npas4 Plk2 Ptgs2 Sgk1 Syt4"
"BP","Tissue development","Acan Arc Areg Atf3 Bdnf Btg2 Col10a1 Egr1 Errfi1 Fosl2 Frmd6 Fzd5 Homer1 Hoxc4 Nr4a3 Pcdh8 Ptgs2 Rgs2 Slc25a25 Smad7 Tiparp"
"BP","Cognition","Arc Bdnf Btg2 Egr1 Kcnk10 Npas4 Plk2 Ptgs2 Sgk1 Syt4"
"BP","Behavior","Arc Bdnf Btg2 Egr1 Homer1 Kcnk10 Npas4 Nr4a3 Plk2 Ptgs2 Sgk1 Slc16a1 Syt4"
"CC","Neuron projection","Acan Arc Bdnf Cpeb4 Fzd5 Homer1 Nexn Pcdh8 Plk2 Ptgs2 Rgs2 Sgk1 Syt4"
"CC","Cell junction","Arc Cpeb4 Frmd6 Fzd5 Homer1 Nexn Pcdh8 Slc16a1 Smad7 Syt4"
"CC","Dendrite","Arc Bdnf Cpeb4 Fzd5 Homer1 Pcdh8 Plk2 Syt4"
"CC","Dendritic tree","Arc Bdnf Cpeb4 Fzd5 Homer1 Pcdh8 Plk2 Syt4"
"CC","Somatodendritic compartment","Acan Arc Bdnf Cpeb4 Fzd5 Homer1 Pcdh8 Plk2 Syt4"
"MF","Regulatory region nucleic acid binding","Atf3 Egr1 Egr4 Fosl2 Hoxc4 Nfil3 Npas4 Nr4a3 Per1 Smad7 Tiparp"
"MF","Transcription regulatory region DNA binding","Atf3 Egr1 Egr4 Fosl2 Hoxc4 Nfil3 Npas4 Nr4a3 Per1 Smad7 Tiparp"
"MF","RNA polymerase II regulatory region sequence-specific DNA binding","Atf3 Egr1 Egr4 Fosl2 Hoxc4 Nfil3 Npas4 Nr4a3 Per1"
"MF","DNA-binding transcription factor activity, RNA polymerase II-specific","Atf3 Btg2 Egr1 Egr4 Fosl2 Hoxc4 Nfil3 Npas4 Nr4a3"
"MF","RNA polymerase II regulatory region DNA binding","Atf3 Egr1 Egr4 Fosl2 Hoxc4 Nfil3 Npas4 Nr4a3 Per1"
