"gene","logP"
"0610005C13Rik",0
"0610007P14Rik",0.1
"0610009B22Rik",-0.1
"0610009E02Rik",0.4
"0610009L18Rik",0.2
"0610009O20Rik",0.1
"0610010F05Rik",-0.5
"0610010K14Rik",0.3
"0610011F06Rik",-0.6
"0610012G03Rik",-1.7
"0610030E20Rik",-0.4
"0610031O16Rik",-0.6
"0610037L13Rik",1.2
"0610038B21Rik",-0.7
"0610039K10Rik",-0.5
"0610040B10Rik",-0.1
"0610040F04Rik",-0.2
"0610040J01Rik",0.7
"0610043K17Rik",0.1
"1010001B22Rik",0
"1110001J03Rik",-0.1
"1110002E22Rik",0.3
"1110002J07Rik",0
"1110002L01Rik",0.4
"1110004E09Rik",0
"1110004F10Rik",-0.3
"1110007C09Rik",0.1
"1110008F13Rik",0.6
"1110008L16Rik",-0.3
"1110008P14Rik",0.4
"1110012L19Rik",0.9
"1110015O18Rik",0.3
"1110017D15Rik",0
"1110018N20Rik",0.8
"1110019D14Rik",0.1
"1110025M09Rik",-0.1
"1110028F18Rik",0
"1110032A03Rik",0.3
"1110032F04Rik",0.3
"1110034G24Rik",-0.3
"1110035H17Rik",0
"1110037F02Rik",-0.2
"1110038B12Rik",0.1
"1110038F14Rik",-0.3
"1110046J04Rik",-0.8
"1110051M20Rik",0.8
"1110059E24Rik",-0.4
"1110059G10Rik",0.3
"1110065P20Rik",1
"1190002F15Rik",0.1
"1190002N15Rik",-0.4
"1190005I06Rik",-0.3
"1190007I07Rik",0.5
"1200014J11Rik",0.1
"1300002E11Rik",-0.2
"1500002C15Rik",0.3
"1500002F19Rik",-0.2
"1500004A13Rik",0
"1500009C09Rik",0.2
"1500009L16Rik",0.2
"1500011B03Rik",1.3
"1500011K16Rik",0
"1500012F01Rik",0.8
"1500012K07Rik",0.2
"1500015A07Rik",-0.2
"1500015L24Rik",0
"1500017E21Rik",1.5
"1500026H17Rik",-0.3
"1500035N22Rik",-0.6
"1520401A03Rik",0.1
"1600002H07Rik",0.2
"1600002K03Rik",-0.2
"1600010M07Rik",0.3
"1600012H06Rik",1.6
"1600014C10Rik",0.3
"1600017P15Rik",0.4
"1600020E01Rik",0.1
"1600025M17Rik",0.3
"1600029O15Rik",0.9
"1700001C02Rik",NA
"1700001C19Rik",-0.4
"1700001G17Rik",0.4
"1700001J03Rik",0.1
"1700001J11Rik",-0.3
"1700001K19Rik",0.1
"1700001L05Rik",-0.8
"1700001L19Rik",0.2
"1700001O22Rik",0.8
"1700001P01Rik",0.5
"1700003D09Rik",0.2
"1700003E16Rik",0.6
"1700003F12Rik",NA
"1700003M02Rik",0
"1700003M07Rik",0
"1700006E09Rik",0.4
"1700006J14Rik",-0.2
"1700007E05Rik",0.4
"1700007G11Rik",0.4
"1700007J10Rik",0.8
"1700007K09Rik",0
"1700007K13Rik",-0.4
"1700007L15Rik",NA
