"","pval","direction","color","goodgenes","GOterm","Punch"
"108/699 sequence-specific DNA binding transcription factor activity",0.00423261709434999,1,"red","108/699","sequence-specific DNA binding transcription factor activity","CA1"
"99/588 receptor activity",0.000155216072504901,1,"red","99/588","receptor activity","CA1"
"120/712 signal transducer activity",0.000155216072504901,1,"red","120/712","signal transducer activity","CA1"
"11/24 glutamate receptor activity",0.000155216072504901,1,"red","11/24","glutamate receptor activity","CA1"
"18/119 divalent inorganic cation transmembrane transporter activity",0.0092801880737031,1,"red","18/119","divalent inorganic cation transmembrane transporter activity","CA1"
"138/682 transmembrane transporter activity",0.000306759284064203,1,"red","138/682","transmembrane transporter activity","CA1"
"60/288 channel activity",0.00456890495799802,1,"red","60/288","channel activity","CA1"
"8/20 ionotropic glutamate receptor activity",0.00185771802160939,1,"red","8/20","ionotropic glutamate receptor activity","CA1"
"154/827 transporter activity",0.000536158596221906,1,"red","154/827","transporter activity","CA1"
"39/112 potassium ion transmembrane transporter activity",0.000536158596221906,1,"red","39/112","potassium ion transmembrane transporter activity","CA1"
"76/340 inorganic cation transmembrane transporter activity",0.00818521561005166,1,"red","76/340","inorganic cation transmembrane transporter activity","CA1"
"10/25 delayed rectifier potassium channel activity",0.00163267210682364,1,"red","10/25","delayed rectifier potassium channel activity","CA1"
"35/133 voltage-gated ion channel activity",0.00848229571699579,1,"red","35/133","voltage-gated ion channel activity","CA1"
"23/60 voltage-gated potassium channel activity",0.00345062260259189,1,"red","23/60","voltage-gated potassium channel activity","CA1"
"38/190 cation channel activity",0.0092801880737031,1,"red","38/190","cation channel activity","CA1"
"86/410 cation transmembrane transporter activity",0.00759562791934538,1,"red","86/410","cation transmembrane transporter activity","CA1"
"80/559 oxidoreductase activity",0.00759562791934538,0,"grey20","80/559","oxidoreductase activity","CA1"
"6/36 oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.00816974413114225,0,"grey20","6/36","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","CA1"
"14/55 rRNA binding",0.00848229571699579,0,"grey20","14/55","rRNA binding","CA1"
"17/87 structural constituent of ribosome",3.78764696322755e-07,0,"grey20","17/87","structural constituent of ribosome","CA1"
"132/793 poly(A) RNA binding",0.000155216072504901,0,"grey20","132/793","poly(A) RNA binding","CA1"
