"","pval","direction","color","goodgenes","GOterm","Punch"
"2/24 ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",0.013252062664824,1,"#f4a582","2/24","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","CA3"
"2/11 hydrogen-exporting ATPase activity, phosphorylative mechanism",0.0314965095474053,1,"#f4a582","2/11","hydrogen-exporting ATPase activity, phosphorylative mechanism","CA3"
"4/61 hydrogen ion transmembrane transporter activity",0.00446984455566593,1,"#f4a582","4/61","hydrogen ion transmembrane transporter activity","CA3"
"1/6 RNA polymerase III transcription factor binding",0.0464239733535376,0,"#ca0020","1/6","RNA polymerase III transcription factor binding","CA3"
"44/516 regulatory region nucleic acid binding",0.0178784428107797,0,"#ca0020","44/516","regulatory region nucleic acid binding","CA3"
"44/449 sequence-specific DNA binding RNA polymerase II transcription factor activity",0.0178784428107797,0,"#ca0020","44/449","sequence-specific DNA binding RNA polymerase II transcription factor activity","CA3"
"61/722 sequence-specific DNA binding transcription factor activity",0.0396014320854595,0,"#ca0020","61/722","sequence-specific DNA binding transcription factor activity","CA3"
"14/108 growth factor binding",0.0309697715901776,0,"#ca0020","14/108","growth factor binding","CA3"
"52/623 receptor activity",8.61058141164559e-05,0,"#ca0020","52/623","receptor activity","CA3"
"76/749 signal transducer activity",8.34724319938348e-05,0,"#ca0020","76/749","signal transducer activity","CA3"
"9/65 transmembrane receptor protein kinase activity",0.00966025142304597,0,"#ca0020","9/65","transmembrane receptor protein kinase activity","CA3"
"81/665 cytoskeletal protein binding",0.0314965095474053,0,"#ca0020","81/665","cytoskeletal protein binding","CA3"
"24/219 cell adhesion molecule binding",0.00446984455566593,0,"#ca0020","24/219","cell adhesion molecule binding","CA3"
"9/115 isomerase activity",0.0314965095474053,1,"#f4a582","9/115","isomerase activity","CA3"
"8/85 purine NTP-dependent helicase activity",0.0333030360613456,1,"#f4a582","8/85","purine NTP-dependent helicase activity","CA3"
"68/792 poly(A) RNA binding",0.00541075231013407,1,"#f4a582","68/792","poly(A) RNA binding","CA3"
"3/42 translation initiation factor activity",0.00955289377173229,1,"#f4a582","3/42","translation initiation factor activity","CA3"
"5/71 translation factor activity, nucleic acid binding",0.00446984455566593,1,"#f4a582","5/71","translation factor activity, nucleic acid binding","CA3"
