name	term	lev	seq	value
"nucleosome binding"	GO:0031491	2	"Actb"	0.1
"nucleosome binding"	GO:0031491	2	"Actl6a"	0.3
"nucleosome binding"	GO:0031491	2	"Arid1a"	0.4
"nucleosome binding"	GO:0031491	2	"Cabin1"	-0.1
"nucleosome binding"	GO:0031491	2	"Cenpa"	0
"nucleosome binding"	GO:0031491	2	"Chd4"	-0.1
"nucleosome binding"	GO:0031491	2	"Dnttip1"	-0.3
"nucleosome binding"	GO:0031491	2	"Gatad2b"	0
"nucleosome binding"	GO:0031491	2	"H2afy"	0
"nucleosome binding"	GO:0031491	2	"H2afz"	0
"nucleosome binding"	GO:0031491	2	"H3f3a"	0
"nucleosome binding"	GO:0031491	2	"H3f3b"	0.3
"nucleosome binding"	GO:0031491	2	"Hdac1"	-0.2
"nucleosome binding"	GO:0031491	2	"Hdac2"	-0.2
"nucleosome binding"	GO:0031491	2	"Hira"	-0.1
"nucleosome binding"	GO:0031491	2	"Hist2h3b"	0.5
"nucleosome binding"	GO:0031491	2	"Hist2h3c1"	0.2
"nucleosome binding"	GO:0031491	2	"Hist2h3c2"	0
"nucleosome binding"	GO:0031491	2	"Hmgn1"	0
"nucleosome binding"	GO:0031491	2	"Hmgn3"	0.1
"nucleosome binding"	GO:0031491	2	"Hnrnpc"	0.2
"nucleosome binding"	GO:0031491	2	"Hp1bp3"	-0.3
"nucleosome binding"	GO:0031491	2	"L3mbtl1"	0.2
"nucleosome binding"	GO:0031491	2	"Mbd2"	0.2
"nucleosome binding"	GO:0031491	2	"Mbd3"	0.2
"nucleosome binding"	GO:0031491	2	"Mta2"	-0.5
"nucleosome binding"	GO:0031491	2	"Noc2l"	0
"nucleosome binding"	GO:0031491	2	"Rbbp4"	-0.7
"nucleosome binding"	GO:0031491	2	"Rcc1"	0
"nucleosome binding"	GO:0031491	2	"Rnf168"	0.6
"nucleosome binding"	GO:0031491	2	"Rnf169"	-0.7
"nucleosome binding"	GO:0031491	2	"Rnf4"	-0.1
"nucleosome binding"	GO:0031491	2	"Smarca1"	-0.1
"nucleosome binding"	GO:0031491	2	"Smarca4"	0.5
"nucleosome binding"	GO:0031491	2	"Smarca5"	0
"nucleosome binding"	GO:0031491	2	"Smarcb1"	0.4
"nucleosome binding"	GO:0031491	2	"Smarcc1"	-0.1
"nucleosome binding"	GO:0031491	2	"Smarcc2"	-0.5
"nucleosome binding"	GO:0031491	2	"Smarcd2"	0.1
"nucleosome binding"	GO:0031491	2	"Smarce1"	0.6
"nucleosome binding"	GO:0031491	2	"Supt16"	0.2
"nucleosome binding"	GO:0031491	2	"Supt6"	-0.2
"nucleosome binding"	GO:0031491	2	"Uhrf1"	0.3
"nucleosome binding"	GO:0031491	2	"Vrk1"	0.2
"nucleosome binding"	GO:0031491	2	"Znhit1"	0
"C4-dicarboxylate transmembrane transporter activity"	GO:0015556	2	"Slc13a3"	0.3
"C4-dicarboxylate transmembrane transporter activity"	GO:0015556	2	"Slc13a5"	0.5
"C4-dicarboxylate transmembrane transporter activity"	GO:0015556	2	"Slc25a10"	-1.2
"C4-dicarboxylate transmembrane transporter activity"	GO:0015556	2	"Slc25a12"	0.1
"C4-dicarboxylate transmembrane transporter activity"	GO:0015556	2	"Slc25a13"	-0.1
"C4-dicarboxylate transmembrane transporter activity"	GO:0015556	2	"Slc38a7"	0.4
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Arid1a"	0.4
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"C1d"	0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Jund"	1.4
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Mecr"	-0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Med1"	-0.6
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Ncoa1"	0.3
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Ncoa2"	-0.4
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Ncoa3"	-0.2
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Ncor1"	-0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Ncor2"	-0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Nrbf2"	-0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Ppargc1a"	0.3
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Prox1"	-0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Slc30a9"	-0.2
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Smarcd3"	-0.2
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Smarce1"	0.6
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Sra1"	0
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Tada3"	-0.1
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Trim24"	0.9
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Trip4"	0.5
"ligand-dependent nuclear receptor binding"	GO:0016922	2	"Uba3"	-0.2
"ion channel binding"	GO:0044325	3	"Abcc8"	-0.3
"ion channel binding"	GO:0044325	3	"Abcc9"	0.5
"ion channel binding"	GO:0044325	3	"Actn1"	-0.4
"ion channel binding"	GO:0044325	3	"Actn2"	-0.6
"ion channel binding"	GO:0044325	3	"Actn4"	0.2
"ion channel binding"	GO:0044325	3	"Agrn"	0.1
"ion channel binding"	GO:0044325	3	"Akap6"	-0.8
"ion channel binding"	GO:0044325	3	"Ank2"	-0.1
"ion channel binding"	GO:0044325	3	"Ank3"	0
"ion channel binding"	GO:0044325	3	"Ap2m1"	0.2
"ion channel binding"	GO:0044325	3	"Arrb1"	0.7
"ion channel binding"	GO:0044325	3	"Bak1"	0.1
"ion channel binding"	GO:0044325	3	"Cacna1c"	-0.2
"ion channel binding"	GO:0044325	3	"Calm1"	-0.7
"ion channel binding"	GO:0044325	3	"Calm2"	0
"ion channel binding"	GO:0044325	3	"Calm3"	-0.3
"ion channel binding"	GO:0044325	3	"Camk2d"	0.1
"ion channel binding"	GO:0044325	3	"Cav1"	0.1
"ion channel binding"	GO:0044325	3	"Cav3"	-0.4
"ion channel binding"	GO:0044325	3	"Cbarp"	0
"ion channel binding"	GO:0044325	3	"Cdh5"	0.1
"ion channel binding"	GO:0044325	3	"Cherp"	-0.3
"ion channel binding"	GO:0044325	3	"Cib1"	0.1
"ion channel binding"	GO:0044325	3	"Ctnnb1"	0.2
"ion channel binding"	GO:0044325	3	"Diaph1"	0
"ion channel binding"	GO:0044325	3	"Dlg1"	0.2
"ion channel binding"	GO:0044325	3	"Epn1"	0
"ion channel binding"	GO:0044325	3	"Fgf12"	0.3
"ion channel binding"	GO:0044325	3	"Fgf13"	-0.8
"ion channel binding"	GO:0044325	3	"Fhl1"	0
"ion channel binding"	GO:0044325	3	"Fkbp1a"	0
"ion channel binding"	GO:0044325	3	"Fkbp1b"	-0.1
"ion channel binding"	GO:0044325	3	"Flna"	0.3
"ion channel binding"	GO:0044325	3	"Fmr1"	0.1
