name	term	lev	seq	value
"endoribonuclease activity"	GO:0004521	6	"1110008L16Rik"	0.1
"endoribonuclease activity"	GO:0004521	6	"Ago2"	-0.1
"endoribonuclease activity"	GO:0004521	6	"Apex1"	-0.1
"endoribonuclease activity"	GO:0004521	6	"Cpsf3"	0.1
"endoribonuclease activity"	GO:0004521	6	"Cpsf4"	0
"endoribonuclease activity"	GO:0004521	6	"Cpsf4l"	0.2
"endoribonuclease activity"	GO:0004521	6	"Dbr1"	0.3
"endoribonuclease activity"	GO:0004521	6	"Dgcr8"	0
"endoribonuclease activity"	GO:0004521	6	"Dicer1"	-0.5
"endoribonuclease activity"	GO:0004521	6	"Drosha"	0
"endoribonuclease activity"	GO:0004521	6	"Elac1"	0
"endoribonuclease activity"	GO:0004521	6	"Endou"	0.1
"endoribonuclease activity"	GO:0004521	6	"Endov"	0.1
"endoribonuclease activity"	GO:0004521	6	"Ern1"	0
"endoribonuclease activity"	GO:0004521	6	"Fen1"	-0.1
"endoribonuclease activity"	GO:0004521	6	"Lactb2"	-0.1
"endoribonuclease activity"	GO:0004521	6	"Mrpl44"	0.1
"endoribonuclease activity"	GO:0004521	6	"Nob1"	-0.9
"endoribonuclease activity"	GO:0004521	6	"Pld6"	-0.1
"endoribonuclease activity"	GO:0004521	6	"Pop1"	-0.4
"endoribonuclease activity"	GO:0004521	6	"Pop4"	0.2
"endoribonuclease activity"	GO:0004521	6	"Pop5"	0.1
"endoribonuclease activity"	GO:0004521	6	"Pop7"	0
"endoribonuclease activity"	GO:0004521	6	"Rcl1"	-0.3
"endoribonuclease activity"	GO:0004521	6	"Rida"	-0.4
"endoribonuclease activity"	GO:0004521	6	"Rnaseh1"	0
"endoribonuclease activity"	GO:0004521	6	"Rnaseh2a"	0.1
"endoribonuclease activity"	GO:0004521	6	"Rnaseh2b"	0
"endoribonuclease activity"	GO:0004521	6	"Rpp25"	0.3
"endoribonuclease activity"	GO:0004521	6	"Rpp30"	-0.4
"endoribonuclease activity"	GO:0004521	6	"Rpp40"	0.4
"endoribonuclease activity"	GO:0004521	6	"Smg6"	0.1
"endoribonuclease activity"	GO:0004521	6	"Zc3h12a"	0.4
"endoribonuclease activity"	GO:0004521	6	"Zc3h3"	0
"mannose binding"	GO:0005537	2	"Acr"	0
"mannose binding"	GO:0005537	2	"Bsg"	0
"mannose binding"	GO:0005537	2	"Cln5"	-0.1
"mannose binding"	GO:0005537	2	"Dpm1"	-0.1
"mannose binding"	GO:0005537	2	"Igf2r"	-0.2
"mannose binding"	GO:0005537	2	"Lman1"	0.2
"mannose binding"	GO:0005537	2	"Lman2"	0.3
"mannose binding"	GO:0005537	2	"Lman2l"	-0.3
"mannose binding"	GO:0005537	2	"M6pr"	0
"mannose binding"	GO:0005537	2	"Man2b1"	0
"mannose binding"	GO:0005537	2	"Manba"	-0.3
"mannose binding"	GO:0005537	2	"Mrc1"	-0.9
"quaternary ammonium group binding"	GO:0050997	2	"Ache"	0.3
"quaternary ammonium group binding"	GO:0050997	2	"Aldob"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Bche"	0.8
"quaternary ammonium group binding"	GO:0050997	2	"Chat"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Chka"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Chmp2a"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Chmp3"	0.3
"quaternary ammonium group binding"	GO:0050997	2	"Chrm3"	0.3
"quaternary ammonium group binding"	GO:0050997	2	"Chrna1"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Chrna2"	-0.3
"quaternary ammonium group binding"	GO:0050997	2	"Chrna4"	0
"quaternary ammonium group binding"	GO:0050997	2	"Chrna5"	-0.2
"quaternary ammonium group binding"	GO:0050997	2	"Chrna7"	-0.3
"quaternary ammonium group binding"	GO:0050997	2	"Chrnb1"	-0.3
"quaternary ammonium group binding"	GO:0050997	2	"Chrnb2"	0
"quaternary ammonium group binding"	GO:0050997	2	"Chrnb3"	0.1
"quaternary ammonium group binding"	GO:0050997	2	"Chrnb4"	0.2
"quaternary ammonium group binding"	GO:0050997	2	"Chrnd"	-0.3
"quaternary ammonium group binding"	GO:0050997	2	"Chrne"	0
"quaternary ammonium group binding"	GO:0050997	2	"Esyt2"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Jchain"	-0.3
"quaternary ammonium group binding"	GO:0050997	2	"Nf1"	0.2
"quaternary ammonium group binding"	GO:0050997	2	"Pcyt1a"	-0.5
"quaternary ammonium group binding"	GO:0050997	2	"Pitpna"	0
"quaternary ammonium group binding"	GO:0050997	2	"Pitpnm1"	0
"quaternary ammonium group binding"	GO:0050997	2	"Rasgrp1"	0.2
"quaternary ammonium group binding"	GO:0050997	2	"Rs1"	-0.1
"quaternary ammonium group binding"	GO:0050997	2	"Slc18a3"	0.4
"quaternary ammonium group binding"	GO:0050997	2	"Slc5a7"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"4921509C19Rik"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Aatk"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Abl1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Abl2"	0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Acvr1"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Acvr1b"	0.7
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Acvr1c"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Acvr2a"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Acvr2b"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Acvrl1"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Adck1"	-0.8
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Adck2"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Adck5"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Akt1"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Akt2"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Akt3"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Alk"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Alpk3"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Amhr2"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Araf"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Atm"	-0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Atr"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Aurka"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Avp"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Axl"	0.6
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Baz1b"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"BC030499"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bckdk"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bcr"	-0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bmp2k"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bmpr1a"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bmpr1b"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bmpr2"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bmx"	-0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Braf"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Brd4"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Brsk1"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Brsk2"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bub1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Bub1b"	-1.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cad"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk1"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk1d"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk1g"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk2a"	0.6
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk2b"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk2d"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk2g"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camk4"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camkk1"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camkk2"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Camkv"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cask"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ccl5"	-0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ccnb1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ccnd1"	-0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ccnd3"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ccnh"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ccnk"	-0.7
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdc42bpa"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdc42bpb"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdc42bpg"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdc7"	-0.6
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk10"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk11b"	-1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk12"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk13"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk14"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk15"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk16"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk17"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk18"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk19"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk2"	-0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk20"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk4"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk5"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk6"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk7"	0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk8"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdk9"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdkl1"	-0.8
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdkl2"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdkl3"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdkl4"	-0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdkl5"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cdkn1a"	-1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Chek1"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Chek2"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Chuk"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Cit"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Clk1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Clk2"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Clk3"	-0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Clk4"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csf1r"	1.6
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csk"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk1a1"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk1d"	-0.6
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk1e"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk1g1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk1g2"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk1g3"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk2a1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Csnk2a2"	-0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dapk1"	-0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dapk2"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dapk3"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dbf4"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dclk1"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dclk2"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dclk3"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dcx"	-0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ddr1"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ddr2"	-0.6
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dmpk"	-0.8
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dstyk"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dyrk1a"	-0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dyrk1b"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dyrk2"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Dyrk3"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Ednra"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Eef2k"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Egf"	0
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Egfr"	0.3
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Eif2ak1"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Eif2ak2"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Eif2ak3"	-0.9
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Eif2ak4"	-0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Eng"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha1"	-0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha10"	0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha2"	0.2
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha3"	-0.1
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha4"	0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha5"	-0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha6"	0.4
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha7"	0.5
"kinase activity"	GO:0004672;GO:0016301;GO:0016773	4	"Epha8"	-0.1
