name	term	lev	seq	value
"phosphorylase kinase activity"	GO:0004689	3	"Phka1"	0.2
"phosphorylase kinase activity"	GO:0004689	3	"Phka2"	0
"phosphorylase kinase activity"	GO:0004689	3	"Phkb"	0.3
"phosphorylase kinase activity"	GO:0004689	3	"Phkg1"	0.1
"phosphorylase kinase activity"	GO:0004689	3	"Phkg2"	0.1
"sphingolipid binding"	GO:0046625	3	"Cd300lf"	0
"sphingolipid binding"	GO:0046625	3	"Cerkl"	-0.6
"sphingolipid binding"	GO:0046625	3	"Clip3"	-0.1
"sphingolipid binding"	GO:0046625	3	"Cptp"	-0.1
"sphingolipid binding"	GO:0046625	3	"Lama1"	0
"sphingolipid binding"	GO:0046625	3	"Lamb1"	-0.3
"sphingolipid binding"	GO:0046625	3	"Lamc1"	-0.4
"sphingolipid binding"	GO:0046625	3	"Lyn"	0
"sphingolipid binding"	GO:0046625	3	"Map3k1"	-0.4
"sphingolipid binding"	GO:0046625	3	"S1pr1"	1.4
"sphingolipid binding"	GO:0046625	3	"Tnr"	-0.4
"sphingolipid binding"	GO:0046625	3	"Traf2"	0
"chemorepellent activity"	GO:0045499	1	"Efna5"	-0.3
"chemorepellent activity"	GO:0045499	1	"Epha7"	-0.1
"chemorepellent activity"	GO:0045499	1	"Flrt2"	-0.1
"chemorepellent activity"	GO:0045499	1	"Flrt3"	-0.1
"chemorepellent activity"	GO:0045499	1	"Nrg1"	0
"chemorepellent activity"	GO:0045499	1	"Nrg3"	0.4
"chemorepellent activity"	GO:0045499	1	"Sema3a"	-0.1
"chemorepellent activity"	GO:0045499	1	"Sema3c"	0.6
"chemorepellent activity"	GO:0045499	1	"Sema3d"	0.1
"chemorepellent activity"	GO:0045499	1	"Sema3e"	0.5
"chemorepellent activity"	GO:0045499	1	"Sema3f"	0
"chemorepellent activity"	GO:0045499	1	"Sema3g"	0
"chemorepellent activity"	GO:0045499	1	"Sema4a"	0.1
"chemorepellent activity"	GO:0045499	1	"Sema4b"	-0.2
"chemorepellent activity"	GO:0045499	1	"Sema4c"	0.2
"chemorepellent activity"	GO:0045499	1	"Sema4d"	0
