"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-337 0.701252748651085 5 10 "GO:0000030" "mannosyltransferase activity" 0.938918924125371
-1402 0.181228587894312 4 7 "GO:0000182" "rDNA binding" 0.65919445563532
53 0.937658747522501 4 17 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.984066967016731
-618 0.0185006555488357 2 113 "GO:0000287" "magnesium ion binding" 0.27606822370925
-1293 0.297429748661513 3 5 "GO:0000339" "RNA cap binding" 0.764058610834573
-330 0.771118691552812 3 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.953705092204646
322 0.0311184082099482 3 357 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.333608045278672
359 0.0824233015984445 6 184 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.488679787759726
97 0.802408795671802 6 52 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.957514281977284
788 0.0373968985080141 6 54 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.358075303214235
424 0.00185453319699688 2 433 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.0852343457339766
400 0.0196418207094469 3 269 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.285676607533601
846 0.23804916991965 3 15 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.700397843608411
55 0.707471882451703 2 370 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.939137344597627
-2168 0.0806036596193584 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.482362525534598
-173 0.797682683136842 3 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.957514281977284
-546 0.629714397422383 2 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.92691879265099
326 0.773203137870561 4 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.953705092204646
223 0.44860234190885 3 90 "GO:0001046" "core promoter sequence-specific DNA binding" 0.843248401335813
-94 0.699503335694863 2 131 "GO:0001047" "core promoter binding" 0.938918924125371
1390 0.184995778319221 2 7 "GO:0001055" "RNA polymerase II activity" 0.663185275026776
943 0.282417079011735 2 10 "GO:0001056" "RNA polymerase III activity" 0.749416221211278
-129 0.909604534088817 4 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.977703164043434
212 0.448507792288182 3 99 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.843248401335813
477 0.0236605348034894 2 176 "GO:0001077" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.305460162800105
