"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
701 0.424620014219397 5 10 "GO:0000030" "mannosyltransferase activity" 0.887479406473812
-371 0.723835790458147 3 7 "GO:0000182" "rDNA binding" 0.961474915689344
772 0.297753647195793 3 14 "GO:0000217;GO:0000400" "DNA secondary structure binding" 0.845831148991242
-222 0.406027174999683 2 109 "GO:0000287" "magnesium ion binding" 0.88344433478152
798 0.520006764537722 2 5 "GO:0000339" "RNA cap binding" 0.926816553711357
250 0.840610420866679 5 5 "GO:0000832;GO:0000828;GO:0052723" "inositol hexakisphosphate kinase activity" 0.972064175657579
112 0.921068576136643 3 6 "GO:0000900" "translation repressor activity, nucleic acid binding" 0.986552708045114
-215 0.150030591981215 3 359 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.77504592808233
-194 0.342409429566697 8 187 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.861989244120174
76 0.842118096620021 2 53 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.972064175657579
-643 0.089582134523289 8 54 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.657316044400184
-213 0.11713812178108 3 437 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.719995169793594
-199 0.240791085533808 2 274 "GO:0000982" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.824887616185224
760 0.273401528269223 2 16 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.832848269625537
59 0.683681589897057 2 376 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.940981112976595
-1439 0.246152742678437 2 5 "GO:0000990" "core RNA polymerase binding transcription factor activity" 0.824887616185224
1167 0.0829765250827481 2 17 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.643394944593747
-668 0.555265183609745 2 6 "GO:0001016;GO:0001031" "RNA polymerase III regulatory region DNA binding" 0.926816553711357
-2701 0.0170915602894249 2 6 "GO:0001025" "RNA polymerase III transcription factor binding" 0.455636780173298
84 0.773686846218769 2 91 "GO:0001046" "core promoter sequence-specific DNA binding" 0.961474915689344
-58 0.81264613507405 2 131 "GO:0001047" "core promoter binding" 0.965434693852888
-63 0.952497239633997 2 7 "GO:0001055" "RNA polymerase II activity" 0.995713992793434
737 0.401190565220374 2 10 "GO:0001056" "RNA polymerase III activity" 0.88344433478152
1149 0.310585924059889 3 6 "GO:0001075" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity involved in preinitiation complex assembly" 0.845831148991242
