"0610007P14Rik"	"GO:0005783;GO:0005789;GO:0006629;GO:0006694;GO:0006696;GO:0008202;GO:0016020;GO:0016021;GO:0016126;GO:0030133;GO:0030674"
"0610009B22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"0610009L18Rik"	"GO:0003674;GO:0005575;GO:0008150"
"0610009O20Rik"	"GO:0003674;GO:0005739;GO:0008625;GO:0043281"
"0610010F05Rik"	"GO:0003674;GO:0005575;GO:0008150"
"0610010K14Rik"	"GO:0003674;GO:0003677;GO:0005634;GO:0005654;GO:0005737;GO:0008150;GO:0016569;GO:0016589;GO:0071339"
"0610030E20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"0610037L13Rik"	"GO:0003674;GO:0008150;GO:0070062"
"0610040J01Rik"	"GO:0003674;GO:0005654;GO:0008150;GO:0030054"
"1110002E22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110004E09Rik"	"GO:0003674;GO:0005634;GO:0005737;GO:0005829;GO:0048858"
"1110004F10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110008F13Rik"	"GO:0003674;GO:0005739;GO:0008150"
"1110008L16Rik"	"GO:0001682;GO:0004526;GO:0005739;GO:0008033;GO:0042645"
"1110008P14Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110012L19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110017D15Rik"	"GO:0002177;GO:0005634;GO:0005737;GO:0005856;GO:0007283;GO:0030154;GO:0043014;GO:0043623;GO:0048471"
"1110032A03Rik"	"GO:0003674;GO:0005634;GO:0005654;GO:0008150"
"1110032F04Rik"	"GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016021"
"1110034G24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110037F02Rik"	"GO:0005634;GO:0005654;GO:0006397;GO:0008380;GO:0016607;GO:0036396;GO:0044822;GO:0080009"
"1110038F14Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110051M20Rik"	"GO:0003674;GO:0005654;GO:0008150"
"1110059E24Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110059G10Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1110065P20Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1190002N15Rik"	"GO:0000139;GO:0003674;GO:0005576;GO:0005615;GO:0005794;GO:0014066;GO:0030126;GO:0030137;GO:0031410;GO:0048199;GO:0060038"
"1190005I06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1190007I07Rik"	"GO:0003674;GO:0005575;GO:0005576;GO:0008150"
"1500009C09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1500009L16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1500011B03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1500011K16Rik"	"GO:0016020;GO:0016021"
"1500015O10Rik"	"GO:0003674;GO:0005576;GO:0005615;GO:0031145;GO:0031410;GO:0070314;GO:0090398"
"1520401A03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1600002H07Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1600002K03Rik"	"GO:0003674;GO:0005576;GO:0005737;GO:0008150;GO:0016020;GO:0016021"
"1600012H06Rik"	"GO:0003674;GO:0005576;GO:0006915;GO:0008150;GO:0070062"
"1600014C10Rik"	"GO:0003674;GO:0005623;GO:0005737;GO:0005739;GO:0005783;GO:0006914;GO:0006915;GO:0006979;GO:0016020;GO:0016021;GO:0031966;GO:0051560"
"1700001C19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700001K19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700001L19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700001O22Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700001P01Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700003E16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700003F12Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700006E09Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700007B14Rik"	"GO:0003674;GO:0005575;GO:0008150"
"1700007G11Rik"	"GO:0003674;GO:0005575;GO:0008150"
