MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1922662	2610021A01Rik	RIKEN cDNA 2610021A01 gene	7		regulation of transcription, DNA-templated			IBA	PTN002393530 Q05481 	J:265628 	
MGI:1919667	2700081O15Rik	RIKEN cDNA 2700081O15 gene	19		negative regulation of transcription, DNA-templated			IBA	PTN002856960 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		regulation of DNA-binding transcription factor activity			NAS		J:98077 	
MGI:3583896	A430033K04Rik	RIKEN cDNA A430033K04 gene	5		negative regulation of transcription, DNA-templated			IDA		J:224555 	
MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing	7		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in fibroblast		IDA		J:181917 	
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		melatonin biosynthetic process			IBA	PTN000097491 	J:265628 	
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase	11		melatonin biosynthetic process			ISO	Q16613 	J:164563 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		positive regulation of transcription by RNA polymerase II			ISO	Q9NY61 	J:164563 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		positive regulation of transcription, DNA-templated			ISO	RGD:620685 	J:155856 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		regulation of transcription by RNA polymerase II			IBA	PTN000399853 	J:265628 	
MGI:99606	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	2		regulation of transcription by RNA polymerase II			ISO	Q9BZC7 	J:164563 	
MGI:1921354	Abcb6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	1		porphyrin-containing compound biosynthetic process			ISO	Q9NP58 	J:164563 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		very long-chain fatty-acyl-CoA catabolic process			ISO	P33897 	J:164563 	
MGI:1923741	Abhd14b	abhydrolase domain containing 14b	9		positive regulation of transcription by RNA polymerase II			ISO	Q96IU4 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		negative regulation of BMP signaling pathway	regulates a function/process that happens in duct epithelial cell		IMP	MGI:104738 	J:190763 	
MGI:1194500	Ablim1	actin-binding LIM protein 1	19		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IMP		J:120881 	
MGI:2385758	Ablim2	actin-binding LIM protein 2	5		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IMP		J:120881 	
MGI:2385758	Ablim2	actin-binding LIM protein 2	5		transcription, DNA-templated			IEA	IPR028450 	J:72247 	
MGI:2442582	Ablim3	actin binding LIM protein family, member 3	18		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IMP		J:120881 	
MGI:2442582	Ablim3	actin binding LIM protein family, member 3	18		transcription, DNA-templated			IEA	IPR028449 	J:72247 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of DNA-binding transcription factor activity			IBA	PTN001100454 	J:265628 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of DNA-binding transcription factor activity			IDA		J:116362 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription by RNA polymerase II			IBA	PTN001100454 	J:265628 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IDA		J:120881 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription by RNA polymerase II	regulates a function/process that happens in skeletal musculature,regulates a function/process that happens in cell of skeletal muscle		IGI	MGI:1194500 MGI:2385758 MGI:2442582 	J:120881 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription, DNA-templated			IBA	PTN001100454 	J:265628 	
MGI:2444891	Abra	actin-binding Rho activating protein	15		positive regulation of transcription, DNA-templated			IDA		J:97653 	
MGI:1353636	Abt1	activator of basal transcription 1	13		regulation of transcription by RNA polymerase II			IDA		J:60220 	
MGI:2140940	Acacb	acetyl-Coenzyme A carboxylase beta	5		malonyl-CoA biosynthetic process			IMP		J:138207 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		acetyl-CoA biosynthetic process			ISO	P24752 	J:164563 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		acetyl-CoA catabolic process			ISO	P24752 	J:164563 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		coenzyme A biosynthetic process			ISO	P24752 	J:164563 	
MGI:87870	Acat1	acetyl-Coenzyme A acetyltransferase 1	9		propionyl-CoA biosynthetic process			ISO	P24752 	J:164563 	
MGI:87873	Acd	adrenocortical dysplasia	8		negative regulation of telomere maintenance via telomerase			IBA	PTN001802536 	J:265628 	
MGI:87873	Acd	adrenocortical dysplasia	8		negative regulation of telomere maintenance via telomerase			ISO	Q96AP0 	J:164563 	
MGI:87873	Acd	adrenocortical dysplasia	8		positive regulation of telomerase activity			IBA	PTN001802536 	J:265628 	
MGI:87873	Acd	adrenocortical dysplasia	8		positive regulation of telomerase activity			ISO	Q96AP0 	J:164563 	
MGI:87873	Acd	adrenocortical dysplasia	8		positive regulation of telomere maintenance via telomerase			ISO	Q96AP0 	J:164563 	
MGI:103251	Acly	ATP citrate lyase	11		acetyl-CoA biosynthetic process			IBA	PTN000563493 	J:265628 	
MGI:103251	Acly	ATP citrate lyase	11		acetyl-CoA biosynthetic process			ISO	P53396 	J:164563 	
MGI:2386323	Acmsd	amino carboxymuconate semialdehyde decarboxylase	1		negative regulation of quinolinate biosynthetic process			ISO	Q8TDX5 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of NF-kappaB transcription factor activity			IMP		J:196955 	
MGI:1917275	Acot7	acyl-CoA thioesterase 7	4		coenzyme A biosynthetic process			ISO	O00154 	J:164563 	
MGI:1917275	Acot7	acyl-CoA thioesterase 7	4		long-chain fatty-acyl-CoA catabolic process			ISO	O00154 	J:164563 	
MGI:1917275	Acot7	acyl-CoA thioesterase 7	4		medium-chain fatty-acyl-CoA catabolic process			ISO	O00154 	J:164563 	
MGI:102797	Acsl1	acyl-CoA synthetase long-chain family member 1	8		long-chain fatty-acyl-CoA biosynthetic process			ISO	RGD:2015 	J:155856 	
MGI:1354713	Acsl4	acyl-CoA synthetase long-chain family member 4	X		long-chain fatty-acyl-CoA biosynthetic process			ISO	RGD:69401 	J:155856 	
MGI:1919129	Acsl5	acyl-CoA synthetase long-chain family member 5	19		long-chain fatty-acyl-CoA biosynthetic process			ISO	RGD:69402 	J:155856 	
MGI:894291	Acsl6	acyl-CoA synthetase long-chain family member 6	11		long-chain fatty-acyl-CoA biosynthetic process			ISO	RGD:69403 	J:155856 	
MGI:1915988	Acss1	acyl-CoA synthetase short-chain family member 1	2		acetyl-CoA biosynthetic process			IDA		J:72156 	
MGI:1915988	Acss1	acyl-CoA synthetase short-chain family member 1	2		acetyl-CoA biosynthetic process			ISO	Q9NUB1 	J:164563 	
MGI:1915988	Acss1	acyl-CoA synthetase short-chain family member 1	2		acetyl-CoA biosynthetic process from acetate			IEA	IPR011904 	J:72247 	
MGI:1890410	Acss2	acyl-CoA synthetase short-chain family member 2	2		acetyl-CoA biosynthetic process			IDA		J:72156 	
MGI:1861453	Actl6a	actin-like 6A	3		regulation of transcription by RNA polymerase II			IBA	PTN001732543 	J:265628 	
MGI:1933548	Actl6b	actin-like 6B	5		regulation of transcription by RNA polymerase II			IBA	PTN001732543 	J:265628 	
MGI:1890773	Actn4	actinin alpha 4	7		regulation of nucleic acid-templated transcription			ISO	O43707 	J:164563 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		positive regulation of transcription by RNA polymerase II			ISO	P61160 	J:164563 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of transcription by RNA polymerase II			ISO	P61158 	J:164563 	
MGI:1924748	Actr5	ARP5 actin-related protein 5	2		regulation of transcription, DNA-templated			IBA	PTN000233752 	J:265628 	
MGI:1860775	Actr8	ARP8 actin-related protein 8	14		regulation of transcription, DNA-templated			IBA	PTN000234048 	J:265628 	
MGI:1920610	Actrt1	actin-related protein T1	X		negative regulation of transcription, DNA-templated			ISO	Q8TDG2 	J:164563 	
MGI:1920610	Actrt1	actin-related protein T1	X		regulation of transcription, DNA-templated			IBA	PTN000748066 	J:265628 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP signaling pathway			IBA	PTN002356032 	J:265628 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP signaling pathway			ISO	Q04771 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		BMP signaling pathway involved in heart development			IMP		J:103532 	
MGI:87911	Acvr1	activin A receptor, type 1	2		positive regulation of transcription by RNA polymerase II	happens in UBERON:0036067,regulates UniProtKB:P13297|happens in UBERON:0036067,regulates UniProtKB:Q02085		IMP		J:103532 	
MGI:87911	Acvr1	activin A receptor, type 1	2		positive regulation of transcription by RNA polymerase II			ISO	Q04771 	J:164563 	
MGI:87911	Acvr1	activin A receptor, type 1	2		positive regulation of transcription, DNA-templated			ISO	Q04771 	J:164563 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15		positive regulation of transcription by RNA polymerase II			ISO	RGD:735207 	J:155856 	
MGI:1338944	Acvr1b	activin A receptor, type 1B	15		regulation of transcription, DNA-templated			ISO	P36896 	J:164563 	
MGI:102806	Acvr2a	activin receptor IIA	2		BMP signaling pathway	happens in smooth muscle cell		IMP		J:123381 	
MGI:102806	Acvr2a	activin receptor IIA	2		BMP signaling pathway			IMP		J:229306 	
MGI:102806	Acvr2a	activin receptor IIA	2		BMP signaling pathway			ISO	P27037 	J:123381 J:164563 	
MGI:102806	Acvr2a	activin receptor IIA	2		positive regulation of transcription by RNA polymerase II			ISO	P27037 	J:164563 	
MGI:87912	Acvr2b	activin receptor IIB	9		BMP signaling pathway			ISO	Q13705 	J:164563 	
MGI:87912	Acvr2b	activin receptor IIB	9		negative regulation of transcription by RNA polymerase II			ISO	Q13705 	J:164563 	
MGI:87912	Acvr2b	activin receptor IIB	9		regulation of transcription, DNA-templated			ISO	Q13705 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		BMP signaling pathway			IBA	PTN002356032 	J:265628 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		BMP signaling pathway			IMP	MGI:3604490 	J:186473 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		BMP signaling pathway			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		negative regulation of DNA biosynthetic process			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of BMP signaling pathway			IDA		J:164086 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of BMP signaling pathway			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of transcription by RNA polymerase II	regulates UniProtKB:P52800,happens in UBERON:0004537		IMP		J:85366 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of transcription by RNA polymerase II			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of transcription, DNA-templated			IMP		J:164086 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		positive regulation of transcription, DNA-templated			ISO	P37023 	J:164563 	
MGI:1338946	Acvrl1	activin A receptor, type II-like 1	15		regulation of transcription, DNA-templated			ISO	P37023 	J:164563 	
MGI:87916	Ada	adenosine deaminase	2		dATP catabolic process			IDA		J:29350 	
MGI:87916	Ada	adenosine deaminase	2		dATP catabolic process	happens in embryo		IMP	MGI:1857117 	J:25085 	
MGI:87916	Ada	adenosine deaminase	2		dATP catabolic process	happens in spleen		IMP	MGI:1857117 MGI:2683027 	J:106733 	
MGI:87916	Ada	adenosine deaminase	2		dATP catabolic process	happens in serum|happens in thymus|happens in spleen|happens in liver|happens in metanephros|happens in lung		IMP	MGI:1857117 MGI:2683027 	J:73418 	
MGI:87916	Ada	adenosine deaminase	2		dATP catabolic process	happens in lung|happens in thymus|happens in enucleate erythrocyte		IMP	MGI:2155977 	J:26731 	
MGI:87916	Ada	adenosine deaminase	2		hypoxanthine biosynthetic process	happens in duodenum|happens in tongue|happens in stomach proventricular region|happens in esophagus|happens in jejunum|happens in ileum		IMP	MGI:1857117 MGI:2683027 	J:110603 	
MGI:87916	Ada	adenosine deaminase	2		hypoxanthine salvage			IBA	PTN000150817 	J:265628 	
MGI:87916	Ada	adenosine deaminase	2		inosine biosynthetic process			IBA	PTN000150817 	J:265628 	
