MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1920971	1110017D15Rik	RIKEN cDNA 1110017D15 gene	4		spermatogenesis			IEA	KW-0744 	J:60000 	
MGI:1923933	1500002F19Rik	RIKEN cDNA 1500002F19 gene	7		response to bacterium			IEP		J:190322 	
MGI:1922764	1700013H16Rik	RIKEN cDNA 1700013H16 gene	X		spermatid development			IBA	PTN001064565 	J:265628 	
MGI:1922764	1700013H16Rik	RIKEN cDNA 1700013H16 gene	X		spermatogenesis			IBA	PTN001064565 	J:265628 	
MGI:1920579	1700040F15Rik	RIKEN cDNA 1700040F15 gene	Y		spermatid development			IBA	PTN001064565 	J:265628 	
MGI:1920579	1700040F15Rik	RIKEN cDNA 1700040F15 gene	Y		spermatogenesis			IBA	PTN001064565 	J:265628 	
MGI:1917114	1810065E05Rik	RIKEN cDNA 1810065E05 gene	11		response to bacterium			IEP		J:190322 	
MGI:1925604	2210407C18Rik	RIKEN cDNA 2210407C18 gene	11		response to bacterium			IEP		J:190322 	
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		defense response to bacterium			IEA	KW-0044 	J:60000 	
MGI:1917941	3830403N18Rik	RIKEN cDNA 3830403N18 gene	X		spermatid development			IBA	PTN001064565 	J:265628 	
MGI:1917941	3830403N18Rik	RIKEN cDNA 3830403N18 gene	X		spermatogenesis			IBA	PTN001064565 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		oogenesis			IBA	PTN002860233 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		oogenesis			IMP		J:238491 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		spermatogenesis			IBA	PTN002860233 	J:265628 	
MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	12		spermatogenesis			IMP		J:238491 	
MGI:2444631	4932438A13Rik	RIKEN cDNA 4932438A13 gene	3		spermatogenesis			NAS		J:169901 	
MGI:1924647	9530003J23Rik	RIKEN cDNA 9530003J23 gene	10		defense response to Gram-negative bacterium			IBA	PTN000892307 	J:265628 	
MGI:1924647	9530003J23Rik	RIKEN cDNA 9530003J23 gene	10		defense response to Gram-positive bacterium			IBA	PTN000892307 	J:265628 	
MGI:3608415	9830107B12Rik	RIKEN cDNA 9830107B12 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:1917115	A1cf	APOBEC1 complementation factor	19		embryo implantation			IMP	MGI:3690371 	J:114732 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		female pregnancy			IEA	KW-0635 	J:60000 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		negative regulation of complement activation, lectin pathway			ISO	P01023 	J:164563 	
MGI:2443476	A530064D06Rik	RIKEN cDNA A530064D06 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:3034182	AA467197	expressed sequence AA467197	2		response to bacterium			IEP		J:190322 	
MGI:2443767	Aaas	achalasia, adrenocortical insufficiency, alacrimia	15		fertilization			IMP	MGI:3621812 	J:106908 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		copulation			ISO	RGD:620948 	J:155856 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		cellular response to lipopolysaccharide			IDA		J:154929 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		defense response to virus			ISO	O60706 	J:126658 	
MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	15		response to bacterium			IEP		J:190322 	
MGI:1351656	Abcf3	ATP-binding cassette, sub-family F (GCN20), member 3	16		defense response to virus			IEA	KW-0051 	J:60000 	
MGI:1347061	Abcg2	ATP binding cassette subfamily G member 2 (Junior blood group)	6		embryonic process involved in female pregnancy			ISO	RGD:631345 	J:155856 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		acrosome reaction			IMP		J:231292 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		sperm capacitation			IBA	PTN000846580 	J:265628 	
MGI:1914344	Abhd2	abhydrolase domain containing 2	7		sperm capacitation			ISO	P08910 	J:164563 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		cellular response to lipopolysaccharide	happens in B cell,happens in spleen		IMP	MGI:1856663 	J:34903 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		aggressive behavior			IMP	MGI:2153719 	J:51887 	
MGI:107771	Abr	active BCR-related gene	11		response to lipopolysaccharide			IMP	MGI:2388713 	J:153997 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		response to lipopolysaccharide			ISO	RGD:2493 	J:155856 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		spermatogenesis			IMP	MGI:1857115 	J:129753 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		receptor-mediated virion attachment to host cell			ISO	Q9BYF1 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to interferon-gamma			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to lipopolysaccharide			IDA		J:196954 J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to lipopolysaccharide			ISO	A6NK06 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to molecule of bacterial origin			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		embryo implantation			IMP		J:196639 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		innate immune response			IEA	KW-0399 	J:60000 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of innate immune response			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of toll-like receptor 2 signaling pathway			IMP		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of toll-like receptor 4 signaling pathway			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		positive regulation of antimicrobial humoral response			IDA		J:196954 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		positive regulation of antimicrobial humoral response			ISO	A6NK06 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		response to bacterium			IEP		J:190322 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		response to lipopolysaccharide			IDA		J:25077 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		tolerance induction to lipopolysaccharide			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		tolerance induction to lipopolysaccharide			ISO	A6NK06 	J:164563 	
MGI:1330812	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	11		spermatogenesis			IMP	MGI:1857811 	J:35794 	
