enriched	gene_id	gene_short_name	uniprot_protein_name	novel	coronalIshAvailable	coronalIshConsistent
ca4	ENSMUSG00000029659	6330406I15Rik	Mesenteric estrogen-dependent adipogenesis protein	1	0	0
ca4	ENSMUSG00000039546	Ajap1	Adherens junction-associated protein 1	1	1	1
ca4	ENSMUSG00000008036	Ap2s1	AP-2 complex subunit sigma	1	1	1
ca4	ENSMUSG00000076441	Ass1	Argininosuccinate synthase	1	0	0
ca4	ENSMUSG00000089706	B230216N24Rik	-	1	0	0
ca4	ENSMUSG00000003657	Calb2	Calretinin	0	1	1
ca4	ENSMUSG00000032679	Cd59a	CD59A glycoprotein	1	1	0
ca4	ENSMUSG00000028755	Cda	Cytidine deaminase	1	1	1
ca4	ENSMUSG00000023031	Cela1	Chymotrypsin-like elastase family member 1	1	0	0
ca4	ENSMUSG00000029161	Cgref1	-	1	0	0
ca4	ENSMUSG00000021194	Chga	Chromogranin-A	1	1	1
ca4	ENSMUSG00000030092	Cntn6	Contactin-6	1	1	1
ca4	ENSMUSG00000032332	Col12a1	Collagen alpha-1(XII) chain	1	1	1
ca4	ENSMUSG00000026141	Col19a1	Collagen alpha-1(XIX) chain	1	1	1
ca4	ENSMUSG00000021773	Comtd1	Catechol O-methyltransferase domain-containing protein 1	1	0	0
ca4	ENSMUSG00000025776	Crispld1	Cysteine-rich secretory protein LCCL domain-containing 1	1	1	1
ca4	ENSMUSG00000071714	Csf2rb2	Interleukin-3 receptor class 2 subunit beta	1	1	1
ca4	ENSMUSG00000032482	Cspg5	Chondroitin sulfate proteoglycan 5	1	1	1
ca4	ENSMUSG00000054196	Cthrc1	Collagen triple helix repeat-containing protein 1	1	1	1
ca4	ENSMUSG00000019362	D8Ertd738e	Leydig cell tumor 10 kDa protein homolog	1	0	0
ca4	ENSMUSG00000066026	Dhrs3	Short-chain dehydrogenase/reductase 3	1	1	1
ca4	ENSMUSG00000030792	Dkkl1	Dickkopf-like protein 1	1	1	1
ca4	ENSMUSG00000032259	Drd2	D(2) dopamine receptor	1	1	1
ca4	ENSMUSG00000039661	Dusp26	Dual specificity protein phosphatase 26	1	0	0
ca4	ENSMUSG00000034164	Emid1	EMI domain-containing protein 1	1	0	0
ca4	ENSMUSG00000019978	Epb4.1l2	Band 4.1-like protein 2	1	1	1
ca4	ENSMUSG00000029869	Ephb6	Ephrin type-B receptor 6	1	1	1
ca4	ENSMUSG00000034584	Exph5	Exophilin-5	1	1	1
ca4	ENSMUSG00000036585	Fgf1	Fibroblast growth factor	1	1	1
ca4	ENSMUSG00000024907	Gal	Galanin peptides	1	1	1
ca4	ENSMUSG00000024027	Glp1r	Glucagon-like peptide 1 receptor	1	1	1
ca4	ENSMUSG00000085035	Gm12031	-	1	0	0
ca4	ENSMUSG00000027669	Gnb4	Guanine nucleotide-binding protein subunit beta-4	1	1	1
ca4	ENSMUSG00000075706	Gpx4	"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	1	0	0
ca4	ENSMUSG00000024211	Grm8	Metabotropic glutamate receptor 8	1	1	1
ca4	ENSMUSG00000000628	Hk2	Hexokinase-2	1	0	0
ca4	ENSMUSG00000071379	Hpcal1	Hippocalcin-like protein 1	1	1	1
ca4	ENSMUSG00000039110	Mycbpap	MYCBP-associated protein	1	0	0
ca4	ENSMUSG00000025723	Nmb	Neuromedin-B	1	1	1
ca4	ENSMUSG00000018217	Pmp22	-	1	1	1
ca4	ENSMUSG00000052151	Ppap2c	Lipid phosphate phosphohydrolase 2	1	0	0
ca4	ENSMUSG00000020230	Prmt2	-	1	1	1
ca4	ENSMUSG00000026586	Prrx1	Paired mesoderm homeobox protein 1	1	0	0
ca4	ENSMUSG00000018012	Rac3	Ras-related C3 botulinum toxin substrate 3	1	0	0
ca4	ENSMUSG00000032387	Rbpms2	RNA-binding protein with multiple splicing 2	1	1	1
ca4	ENSMUSG00000019539	Rcn3	Reticulocalbin-3	1	0	0
ca4	ENSMUSG00000029101	Rgs12	Regulator of G-protein signaling 12	1	1	1
ca4	ENSMUSG00000021219	Rgs6	Regulator of G-protein signaling 6	1	1	0
ca4	ENSMUSG00000017144	Rnd3	Rho-related GTP-binding protein RhoE	1	0	0
ca4	ENSMUSG00000028871	Rspo1	-	1	1	1
ca4	ENSMUSG00000000753	Serpinf1	Pigment epithelium-derived factor	1	1	1
ca4	ENSMUSG00000039154	Shd	SH2 domain-containing adapter protein D	1	0	0
ca4	ENSMUSG00000030089	Slc41a3	Solute carrier family 41 member 3	1	1	1
ca4	ENSMUSG00000072941	Sod3	Extracellular superoxide dismutase [Cu-Zn]	1	1	1
ca4	ENSMUSG00000023885	Thbs2	Thrombospondin-2	1	1	1
ca4	ENSMUSG00000020317	Theg	Testicular haploid expressed gene protein	1	0	0
ca4	ENSMUSG00000027800	Tm4sf1	Transmembrane 4 L6 family member 1	1	1	1
ca4	ENSMUSG00000009214	Tmem8c	Protein myomaker	1	0	0
ca4	ENSMUSG00000051747	Ttn	Titin	1	1	1
ca4	ENSMUSG00000026668	Ucma	Unique cartilage matrix-associated protein	1	0	0
ca4	ENSMUSG00000034993	Vat1	Synaptic vesicle membrane protein VAT-1 homolog	1	0	0
