MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919607	2210016L21Rik	RIKEN cDNA 2210016L21 gene	5		negative regulation of Wnt signaling pathway			IBA	PTN002683903 	J:265628 	
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		negative regulation of protein phosphorylation			IDA		J:201575 	
MGI:1914438	2700046G09Rik	RIKEN cDNA 2700046G09 gene	19		RNA stabilization			IDA		J:201967 	
MGI:1919667	2700081O15Rik	RIKEN cDNA 2700081O15 gene	19		negative regulation of transcription, DNA-templated			IBA	PTN002856960 	J:265628 	
MGI:1922045	4930503L19Rik	RIKEN cDNA 4930503L19 gene	18		negative regulation of cell population proliferation			IMP		J:150946 	
MGI:1913997	4933400A11Rik	RIKEN cDNA 4933400A11 gene	X		barbed-end actin filament capping			IBA	PTN000068943 	J:265628 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		negative regulation of endopeptidase activity			IBA	MGI:87854 P01023 PTN001686187 RGD:2004 	J:265628 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		negative regulation of peptidase activity			IEA	KW-0082 KW-0646 	J:60000 	
MGI:3039594	A2ml1	alpha-2-macroglobulin like 1	6		negative regulation of peptidase activity			IEA	KW-0082 KW-0646 	J:60000 	
MGI:2143261	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase	9		negative regulation of epithelial cell proliferation	happens in stomach pyloric region,regulates the proliferation of glandular cell of stomach|happens in stomach glandular region epithelium,regulates the proliferation of glandular cell of stomach		IMP	MGI:5425954 	J:184485 	
MGI:3583896	A430033K04Rik	RIKEN cDNA A430033K04 gene	5		negative regulation of transcription, DNA-templated			IDA		J:224555 	
MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing	7		negative regulation of apoptotic process			IMP		J:181917 	
MGI:2384560	Aars	alanyl-tRNA synthetase	8		negative regulation of neuron apoptotic process	happens in cerebellum,regulates a function/process that happens in Purkinje cell		IMP	MGI:3618596 	J:110647 	
MGI:1929608	Aatf	apoptosis antagonizing transcription factor	11		negative regulation of amyloid precursor protein biosynthetic process			IDA		J:87963 	
