MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		synapse assembly			IDA		J:201575 	
MGI:1914305	2610042L04Rik	RIKEN cDNA 2610042L04 gene	14		synapse assembly			IMP		J:201575 	
MGI:106388	Abhd17a	abhydrolase domain containing 17A	10		regulation of postsynapse organization			ISO	RGD:1359682 	J:155856 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		regulation of dendritic spine maintenance	regulates UniProtKB:P31016		IMP		J:248443 	
MGI:1917816	Abhd17b	abhydrolase domain containing 17B	19		regulation of postsynapse organization			ISO	RGD:1305246 	J:155856 	
MGI:1917428	Abhd17c	abhydrolase domain containing 17C	7		regulation of postsynapse organization			ISO	RGD:1308210 	J:155856 	
MGI:106913	Abi2	abl-interactor 2	1		postsynaptic actin cytoskeleton organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:95254 	
MGI:106913	Abi2	abl-interactor 2	1		postsynaptic actin cytoskeleton organization	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:95254 	
MGI:106913	Abi2	abl-interactor 2	1		regulation of dendritic spine morphogenesis			IMP		J:95254 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		regulation of modification of synaptic structure	regulates a function/process that happens in hippocampal neuron,is upstream of regulation of long-term synaptic potentiation,regulates a function/process that happens in dendritic spine		IGI	CPX-1134 Q03137 	J:214156 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		dendritic spine maintenance	happens in hippocampal neuron		IGI	MGI:99695 	J:193891 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		dendritic spine maintenance	happens in hippocampal neuron		IMP		J:193891 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:234334 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		synapse maturation	happens in glutamatergic synapse,happens in hippocampal formation		IMP		J:234334 	
MGI:87876	Ache	acetylcholinesterase	5		synapse assembly			ISO	RGD:69313 	J:155856 	
MGI:87904	Actb	actin, beta	5		postsynaptic actin cytoskeleton organization			ISO	P60709 	J:164563 	
MGI:2137706	Actn1	actinin, alpha 1	12		postsynapse organization			ISO	P12814 	J:164563 	
MGI:2137706	Actn1	actinin, alpha 1	12		synapse organization			ISO	P12814 	J:164563 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		positive regulation of dendritic spine morphogenesis			ISO	RGD:1310826 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of dendritic spine morphogenesis			ISO	RGD:71024 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		positive regulation of synapse assembly			ISO	RGD:71024 	J:155856 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		postsynaptic actin cytoskeleton organization			ISO	RGD:71024 	J:155856 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		EXP		J:263409 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		postsynapse organization	happens in glutamatergic synapse,happens in hippocampal formation		IDA		J:263409 	
MGI:109548	Adam10	a disintegrin and metallopeptidase domain 10	9		regulation of dendritic spine morphogenesis			ISO	RGD:2032 	J:155856 	
MGI:87919	Add2	adducin 2 (beta)	6		synapse assembly			IDA		J:174730 	
MGI:87919	Add2	adducin 2 (beta)	6		synapse assembly			IMP		J:174730 	
MGI:1933736	Adgrb1	adhesion G protein-coupled receptor B1	15		positive regulation of synapse assembly			IDA		J:211830 	
